"party","year"
"""КМКС"" Партія угорців України",2012
"Аграрна партія України",2012
"Всеукраїнська політична партія ""БРАТСТВО""",2012
"Демократична партія угорців України",2012
"Комуністична партія України",2012
"Ліберальна партія України",2012
"Ліберально-демократична партія України",2012
"Молодіжна партія України",2012
"Народна Екологічна партія",2012
"Народна Партія",2012
"Народно-демократична партія",2012
"Партія ""ВІДРОДЖЕННЯ""",2012
"Партія ""Віче""",2012
"Партія ""Громадянська солідарність""",2012
"Партія ""За Права Людини""",2012
"Партія ""Об’єднані ліві і селяни""",2012
"Партія ""Руський блок""",2012
"Партія ""Сам за себе""",2012
"Партія ""Солідарність жінок України""",2012
"Партія ""Соціалістична Україна""",2012
"Партія ""Союз""",2012
"Партія вільних демократів",2012
"Партія Зелених України",2012
"Партія Наталії Королевської ""Україна – Вперед!""",2012
"Партія Пенсіонерів України",2012
"партія Політичне об’єднання ""Рідна Вітчизна""",2012
"Партія регіонів",2012
"Патріотична партія України",2012
"Політична партія ""Блокова партія""",2012
"Політична партія ""Велика Україна""",2012
"Політична партія ""Вітчизна""",2012
"Політична партія ""Всеукраїнське об’єднання ""ЦЕНТР""",2012
"Політична партія ""Громадянська позиція""",2012
"Політична партія ""Держава""",2012
"Політична партія ""Духовна Україна""",2012
"Політична партія ""Європейська партія України""",2012
"Політична партія ""Європейська платформа""",2012
"Політична партія ""Закон і порядок""",2012
"Політична партія ""Зелені""",2012
"Політична партія ""Інтернет партія України""",2012
"Політична партія ""Козацька Українська Партія""",2012
"Політична партія ""Мерітократична партія України""",2012
"Політична партія ""Молода Україна""",2012
"Політична партія ""Молодь до ВЛАДИ""",2012
"Політична партія ""Народна ініціатива""",2012
"політична партія ""Народна партія вкладників та соціального захисту""",2012
"Політична партія ""Народно-трудовий союз України""",2012
"політична партія ""Наша Україна""",2012
"Політична партія ""НОВА ПОЛІТИКА""",2012
"Політична партія ""Партія Народний порядок""",2012
"Політична партія ""Права воля України""",2012
"Політична партія ""Правда""",2012
"Політична партія ""Руська Єдність""",2012
"Політична партія ""Соціал-Патріотична Асамблея Слов’ян""",2012
"Політична партія ""Союз анархістів України""",2012
"Політична партія ""Справедлива Україна""",2012
"Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",2012
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНА МАЙБУТНЬОГО""",2012
"політична партія Всеукраїнське об’єднання ""Батьківщина""",2012
"Політична партія Всеукраїнське об’єднання ""Громада""",2012
"політична партія Всеукраїнське об’єднання ""Свобода""",2012
"політична партія Єдиний Центр",2012
"політична партія Конгрес Українських Націоналістів",2012
"Політична партія Ліберальна Україна",2012
"Політична партія малого і середнього бізнесу України",2012
"політична партія Народний Рух України",2012
"Політична партія України ""РУСЬ ЄДИНА""",2012
"політична партія Українська Національна Асамблея",2012
"Політична партія Українська платформа ""СОБОР""",2012
"Радикальна Партія Олега Ляшка",2012
"самовисування",2012
"Слов’янська партія",2012
"Соціал-демократична партія України (об’єднана)",2012
"Соціалістична партія України",2012
"Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",2012
"Українська морська партія",2012
"Українська Народна Партія",2012
"Українська Національна Консервативна партія",2012
"Українська партія",2012
"Українська партія ""Зелена планета""",2012
"Українська політична партія ""Християнський рух""",2012
"Християнсько-демократична партія України",2012
"Комуністична партія України",2014
"Ліберальна партія України",2014
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",2014
"Партія ""Громадська сила""",2014
"Партія ""Солідарність жінок України""",2014
"Партія ""Справедливість""",2014
"Партія Зелених України",2014
"Партія Сергія Тігіпка ""Сильна Україна""",2014
"Патріотична партія України",2014
"Політична Партія ""5.10""",2014
"ПОЛІТИЧНА ПАРТІЯ ""БЛОК ЛІВИХ СИЛ УКРАЇНИ""",2014
"Політична партія ""Воля""",2014
"ПОЛІТИЧНА ПАРТІЯ ""ВСЕУКРАЇНСЬКЕ АГРАРНЕ ОБ’ЄДНАННЯ ""ЗАСТУП""",2014
"Політична партія ""Громадянська позиція (Анатолій Гриценко)""",2014
"Політична партія ""Демократичний альянс""",2014
"Політична партія ""Зелені""",2014
"Політична партія ""Інтернет партія України""",2014
"Політична партія ""Контроль. Порядок. Справедливість""",2014
"Політична партія ""Мерітократична партія України""",2014
"Політична партія ""Ми Українці""",2014
"Політична партія ""НАРОДНИЙ ФРОНТ""",2014
"Політична партія ""Національна Демократична партія України""",2014
"Політична партія ""НОВА ПОЛІТИКА""",2014
"Політична партія ""Об’єднання ""САМОПОМІЧ""",2014
"Політична партія ""Опозиційний блок""",2014
"Політична партія ""ПРАВИЙ СЕКТОР""",2014
"Політична партія ""Республіканська партія ""Славутич""",2014
"Політична партія ""Сила Людей""",2014
"Політична партія ""СІРІУС""",2014
"Політична партія ""СПІЛЬНА ДІЯ""",2014
"політична партія Всеукраїнське об'єднання ""ДЕМОКРАТИ (Демократична партія)""",2014
"політична партія Всеукраїнське об’єднання ""Батьківщина""",2014
"політична партія Всеукраїнське об’єднання ""Свобода""",2014
"політична партія Конгрес Українських Націоналістів",2014
"політична партія Народний Рух України",2014
"Політична партія Українська платформа ""СОБОР""",2014
"Радикальна Партія Олега Ляшка",2014
"самовисування",2014
"Соціально-Християнська Партія",2014
"Українська Народна Партія",2014
"Українська партія ""Зелена планета""",2014
"Українська республіканська партія",2014
