oblast_name,age_2014,age_2012,pop_change_2014,pop_change_2012
Автономна Республіка Крим,40.5,40.4,,1.1
Вінницька область,41.1,40.9,-4.7,-4.4
Волинська область,37.5,37.4,1.6,1.3
Дніпропетровська область,41,40.8,-4.8,-3.8
Донецька область,42.5,42.2,,-6.3
Житомирська область,40.3,40.1,-5.2,-3.4
Закарпатська область,36.7,36.5,2.1,2.9
Запорізька область,41.6,41.3,-5.6,-3.6
Івано-Франківська область,38.7,38.5,0.3,1.2
Київська область,40.4,40.3,2.2,1.4
Кіровоградська область,41.5,41.3,-7.1,-7.3
Луганська область,42.4,42.1,,-7.1
Львівська область,39.4,39.1,-0.3,-0.1
Миколаївська область,40.4,40.2,-3.4,-4
Одеська область,39.6,39.5,0,2.9
Полтавська область,41.9,41.7,-6.4,-6.4
Рівненська область,36.9,36.8,2,2.3
Сумська область,42.3,42.1,-8.4,-7.9
Тернопільська область,39.9,39.7,-3.2,-2.9
Харківська область,41.4,41.2,-2.2,0.8
Херсонська область,40.2,39.9,-4.4,-4.8
Хмельницька область,40.9,40.8,-4.4,-4.7
,,,-6.5,-6.6
,,,1.6,2.1
,,,-10.5,-9.9
,,,6.7,10.9
,,,,5.8
